DURATION	PROVED
   0.00	  30.00
   0.02	  70.00
   0.00	  30.00
   0.03	  84.00
   0.02	  66.00
   0.01	  62.00
   0.10	 109.00
   0.94	 164.00
   1.03	 166.00
   1.83	 178.00
   1.91	 179.00
   4.80	 189.00
   4.74	 188.00
   8.76	 196.00
   4.96	 190.00
 155.43	 226.00
1593.37	 234.00
 158.49	 227.00
   0.01	  58.00
   0.01	  62.00
   0.00	  21.00
   0.03	  83.00
   0.00	  21.00
   1.16	 168.00
   1.99	 180.00
   5.31	 191.00
   8.20	 195.00
   9.81	 198.00
  36.94	 207.00
 168.04	 228.00
1149.60	 232.00
   0.15	 122.00
   0.18	 128.00
   0.18	 129.00
   0.20	 130.00
   0.26	 136.00
   0.42	 149.00
   0.58	 156.00
   0.55	 153.00
   0.63	 157.00
   0.75	 159.00
   0.99	 165.00
   1.44	 170.00
   1.61	 173.00
   2.11	 182.00
   1.82	 176.00
   1.73	 175.00
   1.71	 174.00
   2.17	 183.00
   2.22	 184.00
   0.16	 123.00
   0.10	 113.00
   0.07	 100.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  35.00
   0.01	  49.00
   0.01	  44.00
   0.33	 144.00
   0.00	  30.00
   0.00	  39.00
   0.00	  21.00
   0.20	 131.00
   0.01	  49.00
   0.01	  59.00
   0.00	  39.00
   0.01	  53.00
   0.02	  66.00
   0.02	  72.00
   0.05	  95.00
   3.26	 185.00
   0.02	  79.00
   0.02	  79.00
   0.04	  92.00
   0.85	 161.00
   5.43	 192.00
   0.01	  44.00
   0.01	  53.00
   0.01	  44.00
   0.01	  54.00
   0.01	  44.00
   0.02	  79.00
   0.07	 103.00
   0.02	  79.00
   0.02	  72.00
   0.08	 104.00
   0.12	 117.00
   0.17	 126.00
   6.30	 193.00
   0.18	 127.00
   0.20	 132.00
   0.36	 145.00
   9.21	 197.00
   0.40	 148.00
   0.54	 152.00
   2.01	 181.00
   6.76	 194.00
  10.33	 199.00
  22.23	 203.00
  49.23	 213.00
  49.55	 215.00
   0.02	  79.00
   0.02	  68.00
   0.02	  80.00
   0.03	  83.00
   0.02	  66.00
   0.11	 114.00
   0.26	 135.00
   0.29	 141.00
   0.09	 108.00
   0.10	 111.00
  52.27	 217.00
   1.35	 169.00
   1.83	 177.00
   1.59	 172.00
   1.04	 167.00
   0.57	 155.00
  59.42	 218.00
  14.32	 201.00
  98.89	 222.00
 104.50	 223.00
   0.11	 115.00
   0.07	 102.00
   0.03	  85.00
   0.06	  99.00
   0.04	  91.00
   0.69	 158.00
   0.94	 163.00
   0.43	 151.00
   0.38	 146.00
   0.78	 160.00
   4.14	 187.00
 120.60	 224.00
  44.77	 210.00
  26.15	 204.00
1012.82	 231.00
1229.81	 233.00
  35.23	 206.00
  32.97	 205.00
   0.27	 137.00
   0.09	 108.00
  49.79	 216.00
   3.84	 186.00
   0.32	 142.00
   0.56	 154.00
  86.97	 221.00
   0.40	 147.00
 170.77	 229.00
  49.33	 214.00
  39.53	 209.00
 120.72	 225.00
  81.04	 220.00
  45.56	 211.00
  37.76	 208.00
 721.77	 230.00
1718.83	 235.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  30.00
   0.00	  21.00
   0.00	  30.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  35.00
   0.00	  30.00
   0.00	  30.00
   0.00	  30.00
   0.00	  35.00
   0.00	  35.00
   0.00	  39.00
   0.01	  47.00
   0.00	  30.00
   0.01	  47.00
   0.00	  39.00
   0.01	  44.00
   0.01	  47.00
   0.00	  35.00
   0.01	  58.00
   0.01	  53.00
   0.05	  95.00
   0.04	  89.00
   0.05	  97.00
   0.01	  56.00
   0.04	  90.00
   0.05	  96.00
   0.01	  53.00
   0.04	  89.00
   0.02	  70.00
   0.17	 125.00
   0.01	  56.00
   0.02	  79.00
   0.02	  68.00
   0.05	  93.00
   0.01	  62.00
   0.02	  81.00
   0.02	  66.00
   0.08	 105.00
   0.07	 101.00
   0.09	 106.00
   0.05	  98.00
   0.04	  86.00
   0.02	  79.00
   0.14	 119.00
   0.11	 116.00
   0.17	 124.00
   0.12	 118.00
   0.10	 110.00
   0.15	 120.00
   0.15	 122.00
   0.22	 133.00
   0.29	 138.00
   0.25	 134.00
   0.33	 143.00
   0.29	 141.00
   0.29	 141.00
   0.43	 151.00
   0.89	 162.00
   0.04	  87.00
   0.10	 113.00
   1.49	 171.00
  11.40	 200.00
  19.72	 202.00
  46.91	 212.00
  80.37	 219.00
