DURATION	PROVED
   0.00	  37.00
   0.02	  68.00
   0.00	  28.00
   0.02	  63.00
   0.05	  89.00
   0.08	 102.00
   0.04	  82.00
   1.05	 161.00
   1.05	 160.00
   1.91	 174.00
   4.43	 183.00
   5.52	 187.00
   6.08	 191.00
   8.93	 194.00
   4.78	 185.00
 171.46	 226.00
1695.16	 233.00
  30.25	 204.00
   0.04	  82.00
   0.04	  85.00
   0.00	   1.00
   0.03	  79.00
   0.00	  28.00
   1.61	 165.00
   1.73	 169.00
   6.08	 190.00
   8.35	 193.00
  16.20	 200.00
  46.21	 209.00
 181.68	 228.00
   0.13	 113.00
   0.14	 115.00
   0.18	 125.00
   0.20	 129.00
   0.20	 128.00
   0.39	 142.00
   0.59	 152.00
   0.57	 150.00
   0.72	 154.00
   0.66	 153.00
   0.97	 158.00
   1.46	 163.00
   1.70	 168.00
   2.01	 175.00
   1.70	 167.00
   1.90	 173.00
   2.09	 177.00
   1.81	 171.00
   2.25	 178.00
   0.17	 120.00
   0.07	  98.00
   0.09	 105.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  28.00
   0.01	  48.00
   0.01	  43.00
   0.01	  43.00
   0.32	 140.00
   0.00	  33.00
   0.00	  28.00
   3.24	 180.00
   0.01	  58.00
   0.01	  54.00
   0.00	  37.00
   0.20	 127.00
   0.01	  51.00
   0.01	  60.00
   0.02	  67.00
   0.05	  90.00
   0.02	  74.00
   0.02	  77.00
   0.05	  88.00
   0.87	 156.00
   5.44	 186.00
   0.01	  43.00
   0.01	  51.00
   0.01	  48.00
   0.01	  51.00
   0.01	  43.00
   0.02	  76.00
   0.08	  99.00
   5.75	 188.00
   0.02	  74.00
   0.02	  74.00
   0.08	 102.00
   0.13	 112.00
   0.17	 122.00
   0.19	 126.00
   0.23	 130.00
   0.39	 143.00
  10.09	 196.00
   0.45	 145.00
   0.55	 148.00
   6.06	 189.00
   2.01	 176.00
  22.11	 202.00
  47.85	 210.00
  49.47	 212.00
  56.94	 215.00
   0.02	  74.00
   0.02	  67.00
   0.02	  76.00
   0.03	  78.00
   0.02	  63.00
   0.11	 111.00
   0.27	 131.00
   0.30	 137.00
   0.08	 103.00
   0.10	 110.00
  57.42	 216.00
   1.38	 162.00
   1.74	 170.00
   1.47	 164.00
   0.57	 151.00
   0.97	 159.00
  15.00	 199.00
 101.71	 222.00
 110.90	 223.00
 156.78	 225.00
 335.53	 229.00
   1.88	 172.00
   3.19	 179.00
   0.06	  94.00
   0.77	 155.00
   0.44	 144.00
   7.12	 192.00
   8.98	 195.00
   0.48	 147.00
   3.38	 181.00
  13.22	 197.00
  58.91	 217.00
  50.43	 213.00
   4.46	 184.00
 611.00	 230.00
1491.61	 232.00
2916.47	 234.00
  33.91	 205.00
  29.93	 203.00
   0.28	 133.00
   0.09	 104.00
  43.30	 207.00
   3.47	 182.00
   0.30	 138.00
   0.56	 149.00
  89.14	 220.00
   0.34	 141.00
 179.40	 227.00
  41.80	 206.00
  66.09	 218.00
 116.97	 224.00
  87.65	 219.00
  50.62	 214.00
  45.84	 208.00
 983.74	 231.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  28.00
   0.00	  18.00
   0.00	  28.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  18.00
   0.00	  28.00
   0.00	  18.00
   0.00	  33.00
   0.00	  28.00
   0.01	  48.00
   0.00	  28.00
   0.00	  33.00
   0.00	  28.00
   0.01	  52.00
   0.01	  48.00
   0.00	  33.00
   0.01	  48.00
   0.00	  37.00
   0.00	  37.00
   0.01	  43.00
   0.00	  33.00
   0.01	  57.00
   0.01	  43.00
   0.01	  55.00
   0.04	  84.00
   0.05	  91.00
   0.01	  57.00
   0.04	  86.00
   0.02	  67.00
   0.05	  92.00
   0.01	  53.00
   0.05	  88.00
   0.10	 108.00
   0.02	  74.00
   0.02	  67.00
   0.01	  60.00
   0.15	 118.00
   0.03	  80.00
   0.06	  93.00
   0.02	  63.00
   0.07	  95.00
   0.02	  74.00
   0.10	 107.00
   0.08	 102.00
   0.07	  97.00
   0.07	  96.00
   0.14	 114.00
   0.10	 107.00
   0.15	 116.00
   0.17	 121.00
   0.16	 119.00
   0.15	 117.00
   0.18	 123.00
   0.18	 124.00
   0.27	 132.00
   0.28	 135.00
   0.32	 139.00
   0.28	 135.00
   0.30	 136.00
   0.47	 146.00
   0.88	 157.00
   0.04	  83.00
   0.10	 109.00
   1.66	 166.00
  13.23	 198.00
  20.75	 201.00
  48.70	 211.00
  89.90	 221.00
