DURATION	PROVED
   0.00	  29.00
   0.01	  56.00
   0.00	  21.00
   0.03	  79.00
   0.02	  68.00
   0.03	  79.00
   0.11	 116.00
   0.99	 164.00
   1.03	 166.00
   1.82	 177.00
   3.71	 186.00
   3.92	 187.00
   4.18	 188.00
   9.61	 203.00
   4.81	 192.00
  63.50	 227.00
1558.11	 240.00
  27.96	 213.00
   0.04	  84.00
   0.04	  87.00
   0.03	  82.00
   0.00	   1.00
   0.00	  29.00
   1.64	 171.00
   1.83	 178.00
   2.56	 184.00
   6.04	 196.00
   6.22	 197.00
   7.05	 199.00
  40.47	 217.00
  60.04	 225.00
   0.10	 111.00
   0.14	 121.00
   0.23	 132.00
   0.23	 131.00
   0.25	 134.00
   0.42	 146.00
   0.50	 150.00
   0.55	 153.00
   0.55	 152.00
   0.72	 157.00
   0.98	 163.00
   1.34	 168.00
   1.64	 172.00
   1.91	 179.00
   1.65	 173.00
   1.79	 175.00
   2.09	 181.00
   0.16	 123.00
   1.80	 176.00
   2.26	 182.00
   0.07	  98.00
   0.10	 113.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.01	  44.00
   0.00	  38.00
   0.00	  38.00
   0.01	  44.00
   0.00	  29.00
   0.31	 140.00
   0.01	  62.00
   0.01	  50.00
   0.20	 128.00
   0.00	  38.00
   0.01	  54.00
   0.02	  68.00
   0.05	  93.00
   0.02	  71.00
   0.03	  79.00
   0.02	  75.00
   3.32	 185.00
   0.04	  89.00
   0.90	 160.00
   5.37	 194.00
   0.01	  47.00
   0.01	  54.00
   0.01	  47.00
   0.01	  48.00
   0.01	  44.00
   0.02	  74.00
   0.08	 101.00
   0.02	  74.00
   0.02	  71.00
   0.08	 104.00
   0.12	 118.00
   0.18	 126.00
   6.32	 198.00
   0.19	 127.00
   0.22	 129.00
   0.38	 144.00
   5.17	 193.00
   0.44	 148.00
   9.48	 202.00
   0.56	 155.00
   2.02	 180.00
   5.46	 195.00
   8.96	 201.00
  22.40	 210.00
  48.25	 220.00
   0.02	  71.00
   0.02	  64.00
   0.02	  74.00
   0.03	  80.00
   0.02	  64.00
   0.10	 113.00
   0.26	 136.00
   0.29	 139.00
   0.08	 102.00
   0.10	 110.00
  50.42	 222.00
  50.36	 221.00
   1.30	 167.00
   1.78	 174.00
   1.53	 170.00
   0.56	 154.00
   1.00	 165.00
  60.18	 226.00
  14.69	 205.00
  16.52	 206.00
   0.11	 114.00
   0.07	 100.00
   0.04	  83.00
   0.07	  97.00
   0.04	  87.00
   0.71	 156.00
   0.93	 162.00
   0.42	 147.00
  13.33	 204.00
   0.38	 145.00
   0.80	 158.00
  74.98	 228.00
  21.37	 208.00
   4.20	 189.00
   2.33	 183.00
   4.67	 190.00
  92.78	 230.00
  26.48	 211.00
 112.75	 233.00
1187.32	 238.00
1398.98	 239.00
  28.36	 214.00
  26.89	 212.00
   0.28	 137.00
   0.18	 125.00
  46.19	 219.00
  86.70	 229.00
   0.51	 151.00
   0.81	 159.00
  96.42	 232.00
   8.76	 200.00
  21.93	 209.00
 240.01	 235.00
  29.86	 215.00
  93.19	 231.00
 119.25	 234.00
  43.22	 218.00
  35.68	 216.00
 931.31	 237.00
 792.66	 236.00
1647.33	 242.00
1646.66	 241.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  29.00
   0.00	  21.00
   0.00	  29.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  21.00
   0.00	  33.00
   0.00	  29.00
   0.00	  38.00
   0.00	  29.00
   0.00	  33.00
   0.01	  44.00
   0.01	  52.00
   0.01	  44.00
   0.00	  33.00
   0.01	  47.00
   0.00	  38.00
   0.01	  44.00
   0.00	  33.00
   0.00	  29.00
   0.01	  50.00
   0.01	  59.00
   0.01	  58.00
   0.05	  92.00
   0.04	  88.00
   0.01	  58.00
   0.04	  90.00
   0.04	  85.00
   0.03	  76.00
   0.01	  52.00
   0.10	 107.00
   0.06	  96.00
   0.14	 119.00
   0.01	  60.00
   0.02	  68.00
   0.01	  62.00
   0.01	  56.00
   0.06	  95.00
   0.04	  91.00
   0.03	  82.00
   0.10	 108.00
   0.08	 104.00
   0.07	  99.00
   0.10	 109.00
   0.06	  95.00
   0.08	 105.00
   0.16	 124.00
   0.12	 117.00
   0.11	 115.00
   0.14	 120.00
   0.15	 122.00
   0.22	 130.00
   0.23	 133.00
   0.32	 142.00
   0.31	 141.00
   0.29	 138.00
   0.26	 135.00
   0.36	 143.00
   0.50	 149.00
   0.92	 161.00
   0.02	  68.00
   0.09	 106.00
   1.45	 169.00
   4.80	 191.00
  18.72	 207.00
  53.27	 223.00
  54.83	 224.00
