DURATION	PROVED
   0.01	  44.00
   0.02	  61.00
   0.86	 164.00
   5.15	 209.00
   0.05	  89.00
   0.02	  67.00
   0.00	   1.00
   2.04	 188.00
   0.84	 162.00
   0.01	  46.00
   0.02	  56.00
  30.05	 231.00
  69.80	 244.00
 793.38	 270.00
 780.26	 269.00
   1.03	 171.00
   0.91	 169.00
   0.86	 163.00
   1.64	 182.00
1770.46	 275.00
  95.10	 248.00
 166.65	 254.00
1240.50	 273.00
 705.28	 266.00
 201.42	 257.00
 167.74	 255.00
   4.01	 201.00
  24.52	 229.00
   0.18	 129.00
   0.24	 135.00
   0.14	 118.00
   0.14	 119.00
   0.19	 131.00
   0.58	 158.00
   2.75	 192.00
   1.29	 175.00
   1.72	 183.00
   1.61	 179.00
  17.34	 226.00
   7.91	 215.00
  60.67	 242.00
   4.87	 206.00
   0.52	 153.00
   0.41	 148.00
   0.95	 170.00
   0.53	 155.00
   0.56	 156.00
  75.57	 245.00
   4.58	 204.00
  46.75	 238.00
1771.01	 276.00
  78.34	 247.00
   1.94	 187.00
   2.13	 189.00
   1.63	 181.00
   1.74	 184.00
   1.62	 180.00
  40.30	 237.00
  39.23	 236.00
 160.45	 253.00
  38.95	 235.00
   0.23	 134.00
   0.33	 145.00
   0.14	 120.00
   0.13	 117.00
   0.20	 132.00
   0.01	  28.00
   0.01	  28.00
   0.01	  28.00
   0.01	  28.00
   0.01	  35.00
   0.01	  54.00
   0.01	  52.00
   0.01	  35.00
   0.01	  35.00
   0.01	  44.00
   0.04	  81.00
   0.02	  63.00
   0.01	  52.00
   0.11	 109.00
   0.02	  69.00
   0.04	  83.00
   0.04	  85.00
   0.04	  84.00
   0.03	  77.00
   0.09	 103.00
  33.60	 232.00
 274.75	 260.00
   3.87	 200.00
   0.70	 160.00
  50.90	 239.00
   0.01	  44.00
   0.01	  44.00
   0.01	  28.00
   0.01	  44.00
   0.01	  28.00
   0.02	  63.00
   0.08	 100.00
   0.02	  61.00
   0.02	  67.00
   0.15	 124.00
   0.15	 121.00
   0.18	 130.00
   0.26	 139.00
   4.68	 205.00
   0.18	 127.00
   0.41	 148.00
   6.52	 212.00
   0.49	 151.00
   0.52	 154.00
   1.80	 185.00
 708.66	 267.00
 250.63	 259.00
1047.75	 271.00
   0.05	  91.00
   0.04	  83.00
   0.06	  93.00
   0.07	  97.00
   0.03	  73.00
   0.16	 125.00
   0.28	 143.00
   0.27	 141.00
   0.09	 102.00
   0.09	 104.00
   1.08	 172.00
   1.53	 178.00
   1.28	 174.00
   0.90	 168.00
   0.57	 157.00
  12.24	 221.00
  13.47	 223.00
  14.42	 224.00
  10.08	 219.00
 128.46	 252.00
   0.13	 116.00
   0.07	  98.00
   0.04	  80.00
   0.06	  95.00
   0.09	 106.00
   0.69	 159.00
   0.90	 167.00
   0.39	 146.00
   0.44	 149.00
   0.70	 161.00
   3.33	 196.00
 770.07	 268.00
  19.46	 227.00
   2.17	 190.00
   3.56	 199.00
 304.23	 262.00
 564.80	 265.00
  77.81	 246.00
   2.91	 193.00
   3.19	 195.00
   0.18	 128.00
   0.09	 106.00
   4.10	 203.00
   1.86	 186.00
   0.31	 144.00
   0.50	 152.00
   8.22	 216.00
   0.26	 137.00
  16.66	 225.00
   2.58	 191.00
   3.41	 197.00
  34.09	 233.00
   7.62	 213.00
   9.18	 218.00
   5.65	 210.00
   5.92	 211.00
  24.62	 230.00
  62.93	 243.00
  37.72	 234.00
  56.67	 241.00
  55.01	 240.00
  21.24	 228.00
 110.14	 251.00
 498.64	 264.00
 101.05	 249.00
1254.98	 274.00
 233.90	 258.00
 314.30	 263.00
   0.01	  28.00
   0.01	  15.00
   0.01	  28.00
   0.01	  15.00
   0.00	   6.00
   0.01	  15.00
   0.01	  28.00
   0.01	  15.00
   0.00	   6.00
   0.01	  28.00
   0.01	  28.00
   0.01	  15.00
   0.01	  15.00
   0.00	   6.00
   0.01	  28.00
   0.00	   6.00
   0.01	  35.00
   0.01	  28.00
   0.01	  44.00
   0.00	   6.00
   0.01	  35.00
   0.01	  35.00
   0.01	  49.00
   0.01	  35.00
   0.01	  44.00
   0.01	  48.00
   0.01	  44.00
   0.01	  46.00
   0.01	  44.00
   0.01	  15.00
   0.02	  61.00
   0.01	  48.00
   0.17	 126.00
   0.05	  88.00
   0.03	  71.00
   0.10	 107.00
   0.02	  56.00
   0.04	  87.00
   0.04	  87.00
   0.01	  53.00
   0.06	  96.00
   0.03	  75.00
   0.01	  52.00
   0.03	  70.00
   0.02	  68.00
   0.08	  99.00
   0.02	  61.00
   0.03	  78.00
   0.02	  67.00
   0.08	 101.00
   0.13	 113.00
   0.06	  94.00
   0.05	  90.00
   0.06	  92.00
   0.03	  74.00
   0.13	 116.00
   0.02	  67.00
   0.13	 114.00
   0.15	 124.00
   0.27	 140.00
   0.26	 139.00
   0.13	 112.00
   0.12	 111.00
   0.22	 133.00
   0.12	 110.00
   0.45	 150.00
   0.15	 122.00
   0.25	 136.00
   0.28	 142.00
   0.87	 165.00
   0.10	 108.00
   4.96	 208.00
   1.15	 173.00
   0.03	  72.00
 107.96	 250.00
  13.11	 222.00
   8.35	 217.00
   3.50	 198.00
1097.57	 272.00
   0.88	 166.00
   0.04	  79.00
  11.86	 220.00
   0.02	  61.00
   1.37	 176.00
   1.51	 177.00
 192.41	 256.00
   7.68	 214.00
   3.18	 194.00
   0.03	  77.00
   4.08	 202.00
   4.90	 207.00
   0.01	  15.00
 294.92	 261.00
   0.01	  15.00
