DURATION	PROVED
   0.00	  22.00
   0.02	  52.00
   0.00	  16.00
   0.05	  80.00
   0.02	  50.00
   0.04	  71.00
   0.10	  99.00
   1.03	 154.00
   1.13	 157.00
   1.75	 165.00
   1.81	 168.00
   3.34	 180.00
   3.86	 183.00
   9.15	 196.00
   4.93	 188.00
  64.62	 224.00
1472.09	 242.00
2123.97	 246.00
  35.30	 213.00
3468.06	 249.00
   0.04	  70.00
   0.03	  68.00
   0.03	  66.00
   0.00	   1.00
   0.00	  22.00
   1.18	 158.00
   1.81	 167.00
   2.16	 173.00
   5.29	 190.00
   5.88	 193.00
   6.30	 194.00
  39.35	 216.00
  59.89	 223.00
   0.15	 112.00
   0.15	 112.00
   0.27	 127.00
   0.28	 129.00
   0.35	 134.00
   0.71	 146.00
   1.08	 156.00
   1.29	 161.00
   1.07	 155.00
   1.22	 160.00
   1.85	 170.00
   2.72	 176.00
   3.23	 178.00
   4.08	 184.00
   3.33	 179.00
   3.77	 182.00
   4.38	 187.00
   3.68	 181.00
   0.38	 139.00
   4.96	 189.00
   0.25	 124.00
   0.15	 110.00
   0.70	 145.00
   0.01	  45.00
   0.01	  43.00
   0.02	  51.00
   0.01	  43.00
   0.01	  44.00
   0.01	  38.00
   0.02	  55.00
   0.02	  55.00
   0.02	  47.00
   0.02	  58.00
   6.81	 195.00
   0.03	  65.00
   0.03	  64.00
   0.02	  58.00
   0.42	 141.00
   0.03	  63.00
   0.05	  82.00
   0.12	 103.00
   0.06	  86.00
   0.07	  93.00
   0.05	  80.00
   0.14	 109.00
   1.82	 169.00
  10.47	 200.00
   0.02	  50.00
   0.02	  55.00
   0.03	  62.00
   0.03	  67.00
   0.02	  59.00
   0.06	  89.00
   0.15	 113.00
   0.05	  77.00
   0.05	  85.00
   0.17	 115.00
   0.24	 123.00
   0.26	 126.00
   0.36	 137.00
  13.20	 202.00
   0.46	 142.00
   0.71	 147.00
   9.95	 198.00
   0.92	 152.00
   1.18	 159.00
  20.41	 206.00
   4.31	 186.00
  11.49	 201.00
  18.23	 203.00
  46.67	 219.00
 102.92	 228.00
   0.06	  88.00
   0.07	  90.00
   0.09	  96.00
   0.10	 101.00
   0.04	  74.00
   0.35	 136.00
   0.72	 148.00
 103.31	 229.00
   0.22	 121.00
   0.74	 149.00
   0.32	 133.00
   2.67	 175.00
   4.23	 185.00
   3.20	 177.00
   2.16	 172.00
   1.34	 162.00
 115.33	 230.00
 119.74	 231.00
  27.00	 209.00
  33.04	 211.00
   0.35	 136.00
   0.19	 119.00
   0.11	 102.00
   0.14	 107.00
   0.12	 104.00
   1.60	 164.00
  35.43	 214.00
   0.89	 151.00
   2.02	 171.00
   0.84	 150.00
   1.80	 166.00
  40.33	 217.00
   9.35	 197.00
   5.71	 192.00
  10.44	 199.00
 190.37	 233.00
  55.25	 222.00
 234.60	 235.00
 232.05	 234.00
1299.87	 239.00
1374.54	 241.00
1310.91	 240.00
1518.05	 243.00
  25.96	 208.00
  22.32	 207.00
   0.26	 125.00
   0.13	 105.00
  42.03	 218.00
   2.31	 174.00
   0.31	 132.00
   0.55	 144.00
  83.41	 226.00
   0.39	 140.00
 179.26	 232.00
  18.79	 204.00
  29.30	 210.00
  90.25	 227.00
  83.04	 225.00
  39.32	 215.00
  34.58	 212.00
 787.67	 237.00
1649.18	 245.00
 643.98	 236.00
1239.45	 238.00
1633.95	 244.00
2284.99	 247.00
2809.14	 248.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  22.00
   0.00	  16.00
   0.00	  22.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  16.00
   0.00	  30.00
   0.00	  22.00
   0.00	  30.00
   0.00	  22.00
   0.00	  25.00
   0.00	  25.00
   0.01	  36.00
   0.01	  32.00
   0.00	  30.00
   0.01	  33.00
   0.00	  30.00
   0.01	  32.00
   0.00	  30.00
   0.00	  25.00
   0.01	  43.00
   0.01	  34.00
   0.01	  43.00
   0.04	  74.00
   0.05	  81.00
   0.01	  39.00
   0.04	  76.00
   0.04	  69.00
   0.03	  62.00
   0.09	  96.00
   0.01	  36.00
   0.06	  88.00
   0.02	  58.00
   0.02	  50.00
   0.01	  37.00
   0.17	 116.00
   0.05	  85.00
   0.04	  72.00
   0.02	  47.00
   0.07	  93.00
   0.07	  91.00
   0.05	  83.00
   0.05	  80.00
   0.04	  75.00
   0.08	  94.00
   0.14	 109.00
   0.09	  97.00
   0.10	 100.00
   0.16	 114.00
   0.13	 106.00
   0.19	 119.00
   0.20	 120.00
   0.18	 117.00
   0.24	 122.00
   0.28	 131.00
   0.27	 128.00
   0.37	 138.00
   0.28	 131.00
   0.47	 143.00
   0.94	 153.00
   0.03	  62.00
   0.09	  98.00
   1.43	 163.00
   5.38	 191.00
  19.02	 205.00
  47.50	 220.00
  49.46	 221.00
