Name	TSPTW	Makespan
n100w100.001.txt	643	787
n100w100.002.txt	619	780
n100w100.003.txt	685	819
n100w100.004.txt	684	844
n100w100.005.txt	572	749
n100w120.001.txt	629	882
n100w120.002.txt	540	893
n100w120.003.txt	617	909
n100w120.004.txt	663	923
n100w120.005.txt	537	870
n100w140.001.txt	604	1008
n100w140.002.txt	615	1021
n100w140.003.txt	481	844
n100w140.004.txt	533	854
n100w140.005.txt	509	805
n100w160.001.txt	582	868
n100w160.002.txt	532	791
n100w160.003.txt	495	935
n100w160.004.txt	580	814
n100w160.005.txt	586	917
n100w20.001.txt	738	827
n100w20.002.txt	715	801
n100w20.003.txt	762	834
n100w20.004.txt	799	828
n100w20.005.txt	774	825
n100w40.001.txt	770	841
n100w40.002.txt	653	786
n100w40.003.txt	736	835
n100w40.004.txt	651	809
n100w40.005.txt	699	834
n100w60.001.txt	655	824
n100w60.002.txt	659	782
n100w60.003.txt	744	856
n100w60.004.txt	764	834
n100w60.005.txt	661	790
n100w80.001.txt	670	797
n100w80.002.txt	668	790
n100w80.003.txt	691	829
n100w80.004.txt	700	854
n100w80.005.txt	603	759
n150w120.001.txt	734	972
n150w120.002.txt	677	917
n150w120.003.txt	747	909
n150w120.004.txt	763	925
n150w120.005.txt	689	907
n150w140.001.txt	762	1008
n150w140.002.txt	755	1020
n150w140.003.txt	613	844
n150w140.004.txt	676	898
n150w140.005.txt	663	926
n150w160.001.txt	706	959
n150w160.002.txt	711	890
n150w160.003.txt	608	934
n150w160.004.txt	672	912
n150w160.005.txt	658	920
n150w20.001.txt	925	1034
n150w20.002.txt	864	967
n150w20.003.txt	834	959
n150w20.004.txt	873	975
n150w20.005.txt	846	957
n150w40.001.txt	918	1058
n150w40.002.txt	941	1072
n150w40.003.txt	727	894
n150w40.004.txt	764	948
n150w40.005.txt	824	980
n150w60.001.txt	859	1024
n150w60.002.txt	782	940
n150w60.003.txt	793	984
n150w60.004.txt	819	998
n150w60.005.txt	840	997
n200w120.001.txt	799	1089
n200w120.002.txt	721	1072
n200w120.003.txt	880	1128
n200w120.004.txt	777	1072
n200w120.005.txt	841	1073
n200w140.001.txt	834	1138
n200w140.002.txt	760	1087
n200w140.003.txt	758	1083
n200w140.004.txt	816	1100
n200w140.005.txt	822	1121
n200w20.001.txt	1019	1139
n200w20.002.txt	972	1124
n200w20.003.txt	1050	1178
n200w20.004.txt	984	1125
